shapeISO,state,aqi,date,shapeISO.1
MY-10,Selangor,46.56,2005-10-01,null
MY-10,Selangor,43.83,2005-11-01,null
MY-10,Selangor,48.42,2005-12-01,null
MY-10,Selangor,52.15,2006-01-01,null
MY-10,Selangor,50.46,2006-02-01,null
MY-10,Selangor,59.37,2006-03-01,null
MY-10,Selangor,51.33,2006-04-01,null
MY-10,Selangor,49.31,2006-05-01,null
MY-10,Selangor,53.56,2006-06-01,null
MY-10,Selangor,63.03,2006-07-01,null
MY-10,Selangor,61.29,2006-08-01,null
MY-10,Selangor,54.24,2006-09-01,null
MY-10,Selangor,70.11,2006-10-01,null
MY-10,Selangor,44.46,2006-11-01,null
MY-10,Selangor,44.74,2006-12-01,null
MY-10,Selangor,42.97,2007-01-01,null
MY-10,Selangor,51.04,2007-02-01,null
MY-10,Selangor,47.65,2007-03-01,null
MY-10,Selangor,44.42,2007-04-01,null
MY-10,Selangor,41.69,2007-05-01,null
MY-10,Selangor,46.94,2007-06-01,null
MY-10,Selangor,50.91,2007-07-01,null
MY-10,Selangor,49.97,2007-08-01,null
MY-10,Selangor,45.71,2007-09-01,null
MY-10,Selangor,43.5,2007-10-01,null
MY-10,Selangor,44.03,2007-11-01,null
MY-10,Selangor,45.03,2007-12-01,null
MY-10,Selangor,47.3,2008-01-01,null
MY-10,Selangor,57.19,2008-02-01,null
MY-10,Selangor,45.21,2008-03-01,null
MY-10,Selangor,46.5,2008-04-01,null
MY-10,Selangor,56.59,2008-05-01,null
MY-10,Selangor,50.26,2008-06-01,null
MY-10,Selangor,50.09,2008-07-01,null
MY-10,Selangor,54.63,2008-08-01,null
MY-10,Selangor,47.33,2008-09-01,null
MY-10,Selangor,39.87,2008-10-01,null
MY-10,Selangor,41.54,2008-11-01,null
MY-10,Selangor,42.21,2008-12-01,null
MY-10,Selangor,47.99,2009-01-01,null
MY-10,Selangor,52.01,2009-02-01,null
MY-10,Selangor,41.76,2009-03-01,null
MY-10,Selangor,43.33,2009-04-01,null
MY-10,Selangor,48.86,2009-05-01,null
MY-10,Selangor,63.45,2009-06-01,null
MY-10,Selangor,65.75,2009-07-01,null
MY-10,Selangor,55.3,2009-08-01,null
MY-10,Selangor,48.94,2009-09-01,null
MY-10,Selangor,47.2,2009-10-01,null
MY-10,Selangor,37.7,2009-11-01,null
MY-10,Selangor,44.24,2009-12-01,null
MY-10,Selangor,47.6,2010-01-01,null
MY-10,Selangor,53.4,2010-02-01,null
MY-10,Selangor,49.46,2010-03-01,null
MY-10,Selangor,44.15,2010-04-01,null
MY-10,Selangor,48.33,2010-05-01,null
MY-10,Selangor,44.07,2010-06-01,null
MY-10,Selangor,45.69,2010-07-01,null
MY-10,Selangor,45.69,2010-08-01,null
MY-10,Selangor,45.96,2010-09-01,null
MY-10,Selangor,48.46,2010-10-01,null
MY-10,Selangor,40.07,2010-11-01,null
MY-10,Selangor,41.55,2010-12-01,null
MY-10,Selangor,46.94,2011-01-01,null
MY-10,Selangor,55.35,2011-02-01,null
MY-10,Selangor,47.4,2011-03-01,null
MY-10,Selangor,50.91,2011-04-01,null
MY-10,Selangor,49.7,2011-05-01,null
MY-10,Selangor,56.49,2011-06-01,null
MY-10,Selangor,61.24,2011-07-01,null
MY-10,Selangor,53.24,2011-08-01,null
MY-10,Selangor,55.85,2011-09-01,null
MY-10,Selangor,44.31,2011-10-01,null
