date,station,aqi,lat,lon,state,country
2017-04-01,Alor Gajah,21.68,2.370925,102.224592,Melaka,Malaysia
2017-05-01,Alor Gajah,27.63,2.370925,102.224592,Melaka,Malaysia
2017-06-01,Alor Gajah,30.98,2.370925,102.224592,Melaka,Malaysia
2017-07-01,Alor Gajah,30.2,2.370925,102.224592,Melaka,Malaysia
2017-08-01,Alor Gajah,26.3,2.370925,102.224592,Melaka,Malaysia
2017-09-01,Alor Gajah,26.11,2.370925,102.224592,Melaka,Malaysia
2017-10-01,Alor Gajah,26.22,2.370925,102.224592,Melaka,Malaysia
2017-11-01,Alor Gajah,18.42,2.370925,102.224592,Melaka,Malaysia
2017-12-01,Alor Gajah,17.54,2.370925,102.224592,Melaka,Malaysia
2018-01-01,Alor Gajah,14.29,2.370925,102.224592,Melaka,Malaysia
2018-02-01,Alor Gajah,18.16,2.370925,102.224592,Melaka,Malaysia
2018-03-01,Alor Gajah,19.12,2.370925,102.224592,Melaka,Malaysia
2018-04-01,Alor Gajah,19.84,2.370925,102.224592,Melaka,Malaysia
2018-05-01,Alor Gajah,20.33,2.370925,102.224592,Melaka,Malaysia
2018-06-01,Alor Gajah,26.44,2.370925,102.224592,Melaka,Malaysia
2018-07-01,Alor Gajah,35.29,2.370925,102.224592,Melaka,Malaysia
2018-08-01,Alor Gajah,48.5,2.370925,102.224592,Melaka,Malaysia
2018-09-01,Alor Gajah,61.94,2.370925,102.224592,Melaka,Malaysia
2018-10-01,Alor Gajah,54.97,2.370925,102.224592,Melaka,Malaysia
2018-11-01,Alor Gajah,49.38,2.370925,102.224592,Melaka,Malaysia
2018-12-01,Alor Gajah,45.24,2.370925,102.224592,Melaka,Malaysia
2019-01-01,Alor Gajah,49.57,2.370925,102.224592,Melaka,Malaysia
2019-02-01,Alor Gajah,49.37,2.370925,102.224592,Melaka,Malaysia
2019-03-01,Alor Gajah,66.23,2.370925,102.224592,Melaka,Malaysia
2019-04-01,Alor Gajah,59.36,2.370925,102.224592,Melaka,Malaysia
2019-05-01,Alor Gajah,59.24,2.370925,102.224592,Melaka,Malaysia
2019-06-01,Alor Gajah,53.27,2.370925,102.224592,Melaka,Malaysia
2019-07-01,Alor Gajah,60.48,2.370925,102.224592,Melaka,Malaysia
2019-08-01,Alor Gajah,72.5,2.370925,102.224592,Melaka,Malaysia
2019-09-01,Alor Gajah,96.93,2.370925,102.224592,Melaka,Malaysia
2019-10-01,Alor Gajah,60.26,2.370925,102.224592,Melaka,Malaysia
2019-11-01,Alor Gajah,48.15,2.370925,102.224592,Melaka,Malaysia
2019-12-01,Alor Gajah,34.83,2.370925,102.224592,Melaka,Malaysia
2020-01-01,Alor Gajah,37.35,2.370925,102.224592,Melaka,Malaysia
2020-02-01,Alor Gajah,36.34,2.370925,102.224592,Melaka,Malaysia
2020-03-01,Alor Gajah,44.21,2.370925,102.224592,Melaka,Malaysia
2020-04-01,Alor Gajah,40.69,2.370925,102.224592,Melaka,Malaysia
2020-05-01,Alor Gajah,49.88,2.370925,102.224592,Melaka,Malaysia
2020-06-01,Alor Gajah,48.85,2.370925,102.224592,Melaka,Malaysia
2020-07-01,Alor Gajah,48.72,2.370925,102.224592,Melaka,Malaysia
2020-08-01,Alor Gajah,53.11,2.370925,102.224592,Melaka,Malaysia
2020-09-01,Alor Gajah,48.11,2.370925,102.224592,Melaka,Malaysia
2020-10-01,Alor Gajah,56.56,2.370925,102.224592,Melaka,Malaysia
2020-11-01,Alor Gajah,38.45,2.370925,102.224592,Melaka,Malaysia
2020-12-01,Alor Gajah,42.88,2.370925,102.224592,Melaka,Malaysia
2021-01-01,Alor Gajah,34.9,2.370925,102.224592,Melaka,Malaysia
