state,aqi,density
Melaka,3.0,2.340135518183085e-06
Melaka,3.59,3.871758617300983e-06
Melaka,4.18,7.754675299557275e-06
Melaka,4.76,1.675712558364611e-05
Melaka,5.35,3.496367821127507e-05
Melaka,5.94,6.727573751785754e-05
Melaka,6.53,0.0001182999521736
Melaka,7.12,0.0001912251734823
Melaka,7.7,0.0002879421402143
Melaka,8.29,0.0004112767219673
Melaka,8.88,0.0005681632616325
Melaka,9.47,0.0007703798354726
Melaka,10.06,0.0010303556368806
Melaka,10.64,0.0013543539256531
Melaka,11.23,0.001739152870081
Melaka,11.82,0.002175455141703
Melaka,12.41,0.0026539823689038
Melaka,12.99,0.0031678710014571
Melaka,13.58,0.0037108837779796
Melaka,14.17,0.0042762682963437
Melaka,14.76,0.0048579711968713
Melaka,15.35,0.0054506238558534
Melaka,15.93,0.0060472840779184
Melaka,16.52,0.0066397554476283
Melaka,17.11,0.0072231988450051
Melaka,17.7,0.0077979138490843
Melaka,18.29,0.008362807244479
Melaka,18.87,0.0089079901941092
Melaka,19.46,0.0094180090253365
Melaka,20.05,0.0098837374483241
Melaka,20.64,0.0103096133334679
Melaka,21.23,0.010710608101581
Melaka,21.81,0.0111066457175373
Melaka,22.4,0.0115203013987103
Melaka,22.99,0.0119719289924845
Melaka,23.58,0.0124663669922011
Melaka,24.17,0.0129797236162143
Melaka,24.75,0.013462258145824
Melaka,25.34,0.0138601714991768
Melaka,25.93,0.0141401469062423
Melaka,26.52,0.0142997520845847
Melaka,27.11,0.0143635259220903
Melaka,27.69,0.0143748670615071
Melaka,28.28,0.0143863574051816
Melaka,28.87,0.014442561695037
Melaka,29.46,0.0145573713935387
Melaka,30.05,0.0147038352744918
Melaka,30.63,0.0148334557685384
Melaka,31.22,0.0149167492951211
Melaka,31.81,0.0149718099333493
Melaka,32.4,0.0150538557950714
Melaka,32.98,0.0152143312035806
Melaka,33.57,0.0154651178627362
Melaka,34.16,0.0157736983286334
Melaka,34.75,0.0160847743898805
Melaka,35.34,0.0163474774344123
Melaka,35.92,0.0165334338928151
Melaka,36.51,0.0166417469711127
Melaka,37.1,0.0166915404677474
Melaka,37.69,0.0167073403509198
Melaka,38.28,0.0167088889581242
Melaka,38.86,0.0167134103543141
Melaka,39.45,0.0167424235010579
Melaka,40.04,0.0168165350359171
Melaka,40.63,0.0169362966075227
Melaka,41.22,0.0170694225899035
Melaka,41.8,0.0171637826613895
Melaka,42.39,0.0171790376774309
Melaka,42.98,0.017109093434599
Melaka,43.57,0.0169770566585892
Melaka,44.16,0.0168113205811533
Melaka,44.74,0.0166258151543359
Melaka,45.33,0.016419057253341
Melaka,45.92,0.0161901955289
Melaka,46.51,0.0159621442326778
Melaka,47.1,0.0158041325269024
Melaka,47.68,0.0158499183639696
Melaka,48.27,0.0163041348838527
Melaka,48.86,0.0174174140586924
Melaka,49.45,0.0194074317823336
